Tiempo (s),Voltaje CH1 (V)
0.0199,-902.184531500383
0.020000000000000004,-902.1845275625832
0.020100000000000007,-902.1845359270717
0.020199999999999996,-902.1845360781791
0.0203,-902.1845306337119
0.0204,-902.1845367048489
0.020500000000000004,-902.1845278381379
0.020600000000000007,-902.1845376248555
0.020699999999999996,-902.1845315137163
0.0208,-902.184527455916
0.020900000000000002,-902.1845333714989
0.021000000000000005,-902.1845361848464
0.021099999999999994,-902.1845306781521
0.021199999999999997,-902.1845367981828
0.0213,-902.1845282203665
0.021400000000000002,-902.1845374648527
0.021500000000000005,-902.1845317759376
0.021599999999999994,-902.1845321981597
0.021699999999999997,-902.1845273403621
0.0218,-902.1845278248045
0.021900000000000003,-902.1845358781782
0.022000000000000006,-902.1845368515163
0.022099999999999995,-902.1845281314727
0.022199999999999998,-902.1845283137003
0.0223,-902.1845375048529
0.022400000000000003,-902.1845321759396
0.022500000000000006,-902.1845275403631
0.022599999999999995,-902.1845276736971
0.022699999999999998,-902.1845360248456
0.0228,-902.1845368115161
0.022900000000000004,-902.1845280781391
0.023000000000000007,-902.1845283625872
0.023099999999999996,-902.1845374781861
0.0232,-902.1845353670689
0.0233,-902.184527322582
0.023400000000000004,-902.1845273181353
0.023500000000000007,-902.1845358604047
0.023599999999999996,-902.1845307270457
0.0237,-902.1845367270757
0.0238,-902.1845280470322
0.023900000000000005,-902.1845374515193
0.024000000000000007,-902.1845349404001
0.024099999999999996,-902.1845317981578
0.0242,-902.1845276070301
0.024300000000000002,-902.1845360781791
0.024400000000000005,-902.1845307937127
0.024499999999999994,-902.184536855963
0.024599999999999997,-902.1845279581385
0.0247,-902.1845374426326
0.024800000000000003,-902.1845373092985
0.024900000000000005,-902.1845313981557
0.024999999999999994,-902.1845274870295
0.025099999999999997,-902.1845360159588
0.0252,-902.1845307625993
0.025300000000000003,-902.1845368604097
0.025400000000000006,-902.184536740409
0.025499999999999995,-902.1845282825868
0.025599999999999998,-902.1845376337449
0.0257,-902.1845314114892
0.025800000000000003,-902.184527455916
0.025900000000000006,-902.1845359270717
0.025999999999999995,-902.1845308648197
0.026099999999999998,-902.1845369670768
0.0262,-902.1845368026294
0.026300000000000004,-902.1845282870335
0.026400000000000007,-902.1845376293002
0.026499999999999996,-902.1845315759366
0.0266,-902.1845273936957
0.0267,-902.1845360470722
0.026800000000000004,-902.1845307759326
0.026900000000000007,-902.1845367937427
0.026999999999999996,-902.1845367137423
0.0271,-902.1845279981387
0.027200000000000002,-902.1845376426336
0.027300000000000005,-902.1845315048229
0.027400000000000008,-902.1845275670299
0.027499999999999997,-902.1845361492929
0.0276,-902.184530655932
0.027700000000000002,-902.1845366337419
0.027800000000000005,-902.1845367137423
0.027899999999999994,-902.1845281670329
0.027999999999999997,-902.1845378337459
0.0281,-902.1845314692694
0.028200000000000003,-902.1845275048029
0.028300000000000006,-902.1845358470713
0.028399999999999995,-902.1845358026244
0.028499999999999998,-902.184530455931
0.0286,-902.1845369048499
0.028700000000000003,-902.1845283759206
0.028800000000000006,-902.1845374870795
0.028899999999999995,-902.1845317314907
0.028999999999999998,-902.1845274692494
0.0291,-902.1845357537375
0.029200000000000004,-902.1845358915115
0.029300000000000007,-902.1845307359324
0.029399999999999996,-902.18453692263
0.0295,-902.1845280870325
0.0296,-902.1845376959672
0.029700000000000004,-902.1845313359354
0.029800000000000007,-902.1845323137203
0.029899999999999996,-902.1845276070301
0.03,-902.1845358692914
0.030100000000000002,-902.1845306425986
0.030200000000000005,-902.1845370026303
0.030300000000000007,-902.1845284381409
0.030399999999999996,-902.1845375359665
0.0305,-902.1845315848233
0.030600000000000002,-902.1845323270537
0.030700000000000005,-902.184527389249
0.030800000000000008,-902.1845277448041
0.030899999999999997,-902.1845358470713
0.031,-902.1845366826288
0.031100000000000003,-902.1845281625862
